Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
DeAndre Carter,HOU,1.0,0.14,0.0,0.07,2.18,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
D.J. Chark,JAX,1.0,0.19,0.0,0.87,11.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sammie Coates,FA,1.0,0.1,0.0,0.38,6.44,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Keelan Cole,JAX,1.0,0.09,0.0,3.87,59.99,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Conley,KC,1.0,0.05,0.0,2.39,32.22,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandin Cooks,LAR,1.0,2.42,0.0,5.07,83.88,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Amari Cooper,DAL,1.0,1.39,0.0,4.34,54.98,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cody Core,CIN,1.0,0.11,0.0,0.1,4.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Keke Coutee,HOU,1.0,2.77,0.03,3.33,40.37,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Crabtree,BAL,1.0,0.11,0.0,4.93,54.96,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jamison Crowder,WAS,1.0,4.5,0.04,3.92,43.1,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Corey Davis,TEN,1.0,0.07,0.0,5.55,70.91,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Geremy Davis,LAC,1.0,0.05,0.0,0.04,2.49,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jawill Davis,NYG,1.0,0.08,0.0,0.22,3.17,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Stefon Diggs,MIN,1.0,1.24,0.0,5.66,71.14,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Phillip Dorsett,NE,1.0,0.07,0.0,1.57,22.01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Julian Edelman,NE,1.0,3.0,0.01,5.98,74.71,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Quincy Enunwa,NYJ,1.0,0.42,0.0,4.63,58.77,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Alex Erickson,CIN,1.0,1.45,0.01,0.81,10.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Larry Fitzgerald,ARI,1.0,0.08,0.0,4.73,53.11,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Foster,BUF,1.0,0.14,0.0,0.97,13.93,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Will Fuller,HOU,1.0,0.38,0.0,4.12,59.47,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Devin Funchess,CAR,1.0,0.04,0.0,4.21,63.19,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Russell Gage,ATL,1.0,0.13,0.0,0.27,4.41,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Gallup,DAL,1.0,0.17,0.0,1.76,28.07,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Pierre Garcon,SF,1.0,0.12,0.0,4.41,56.23,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Shelton Gibson,PHI,1.0,0.08,0.0,0.11,3.21,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kenny Golladay,DET,1.0,0.71,0.01,4.33,64.55,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Gordon,NE,1.0,0.31,0.0,1.25,21.55,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jakeem Grant,MIA,1.0,1.47,0.01,2.58,30.23,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ryan Grant,IND,1.0,0.04,0.0,4.34,58.42,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
A.J. Green,CIN,1.0,0.21,0.0,5.6,84.74,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marvin Hall,ATL,1.0,0.04,0.0,0.49,6.42,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DaeSean Hamilton,DEN,1.0,0.26,0.0,0.43,4.61,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Justin Hardee,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.04,0.01,0.01,0.01,0.02,WR,0.0
Justin Hardy,ATL,1.0,0.04,0.0,0.29,3.79,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dwayne Harris,OAK,1.0,0.62,0.0,0.44,8.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Maurice Harris,WAS,1.0,0.04,0.0,0.36,4.9,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Rashard Higgins,CLE,1.0,0.03,0.0,2.35,31.76,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyreek Hill,KC,1.0,5.11,0.06,5.5,82.5,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.07
KhaDarel Hodge,LAR,1.0,0.13,0.0,0.18,3.48,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Hogan,NE,1.0,1.15,0.0,2.63,40.12,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Andre Holmes,DEN,1.0,0.27,0.0,1.49,18.03,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeAndre Hopkins,HOU,1.0,0.83,0.01,6.22,92.11,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Allen Hurns,DAL,1.0,0.05,0.0,2.7,35.04,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Richie James,SF,1.0,0.31,0.0,0.45,6.46,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Alshon Jeffery,PHI,1.0,0.14,0.0,4.07,60.05,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Darius Jennings,TEN,1.0,0.04,0.0,0.76,9.56,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marcus Johnson,IND,1.0,0.61,0.01,0.7,9.28,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Julio Jones,ATL,1.0,0.78,0.01,7.08,100.56,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marvin Jones,DET,1.0,0.18,0.0,3.78,61.14,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
T.J. Jones,DET,1.0,0.08,0.0,0.82,11.75,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Zay Jones,BUF,1.0,0.06,0.0,2.79,34.43,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jermaine Kearse,NYJ,1.0,0.07,0.0,2.28,28.81,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Christian Kirk,ARI,1.0,0.92,0.0,2.92,37.41,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Cooper Kupp,LAR,1.0,1.79,0.01,5.92,77.17,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Jarvis Landry,CLE,1.0,0.1,0.0,5.69,67.44,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cody Latimer,NYG,1.0,0.2,0.0,2.39,32.32,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyler Lockett,SEA,1.0,2.25,0.01,4.2,61.02,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Malone,CIN,1.0,0.94,0.01,1.5,16.17,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandon Marshall,FA,1.0,0.17,0.0,2.12,28.11,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jordan Matthews,PHI,1.0,0.03,0.0,1.7,20.34,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ray-Ray McCloud,BUF,1.0,0.28,0.0,0.8,10.23,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cameron Meredith,NO,1.0,0.18,0.0,3.45,49.37,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jaydon Mickens,JAX,1.0,0.12,0.0,0.3,4.61,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Donte Moncrief,JAX,1.0,0.26,0.0,2.78,40.19,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Moore,BAL,1.0,1.4,0.01,0.63,9.19,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
D.J. Moore,CAR,1.0,1.91,0.0,1.58,18.45,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
David Moore,SEA,1.0,0.24,0.0,1.42,16.73,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
J'Mon Moore,GB,1.0,0.34,0.0,0.61,7.24,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
J.J. Nelson,ARI,1.0,0.25,0.0,0.42,6.1,0.03,0.19,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jordy Nelson,OAK,1.0,0.03,0.0,3.95,51.41,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
George Odum,IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.04,0.01,0.01,0.01,0.03,WR,0.0
Zach Pascal,IND,1.0,0.43,0.01,3.71,46.88,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tim Patrick,DEN,1.0,0.18,0.0,0.49,6.55,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cordarrelle Patterson,NE,1.0,2.39,0.01,1.25,12.39,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Terrelle Pryor,FA,1.0,0.04,0.0,1.12,16.29,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brian Quick,FA,1.0,0.04,0.0,0.3,4.89,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Reynolds,LAR,1.0,0.06,0.0,0.26,4.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Paul Richardson,WAS,1.0,0.06,0.0,1.74,27.28,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Calvin Ridley,ATL,1.0,4.16,0.03,3.32,46.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Andre Roberts,NYJ,1.0,0.8,0.0,0.13,3.45,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Seth Roberts,OAK,1.0,0.03,0.0,1.28,15.43,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Aldrick Robinson,MIN,1.0,0.03,0.0,1.07,10.42,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Demarcus Robinson,KC,1.0,0.02,0.0,0.43,8.54,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chester Rogers,IND,1.0,0.5,0.01,4.47,49.27,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Curtis Samuel,CAR,1.0,1.37,0.0,1.0,14.83,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Emmanuel Sanders,DEN,1.0,2.37,0.02,5.0,60.97,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mohamed Sanu,ATL,1.0,0.56,0.0,4.27,53.05,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tajae Sharpe,TEN,1.0,0.68,0.0,2.19,27.22,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Russell Shepard,NYG,1.0,0.21,0.0,0.56,6.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sterling Shepard,NYG,1.0,0.91,0.0,5.64,66.12,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Trent Sherfield,ARI,1.0,0.08,0.0,0.01,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Matthew Slater,NE,1.0,0.07,0.0,0.04,3.34,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Torrey Smith,CAR,1.0,0.19,0.0,2.81,36.77,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tre'Quan Smith,NO,1.0,0.23,0.0,1.8,19.58,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
JuJu Smith-Schuster,PIT,1.0,0.13,0.0,6.75,83.25,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Willie Snead,BAL,1.0,0.41,0.0,3.58,37.43,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Equanimeous St. Brown,GB,1.0,0.33,0.0,0.51,5.7,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kenny Stills,MIA,1.0,0.26,0.0,3.37,53.14,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Rod Streater,CLE,1.0,0.03,0.0,0.57,8.58,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Courtland Sutton,DEN,1.0,0.97,0.0,2.69,37.41,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ryan Switzer,PIT,1.0,3.57,0.02,1.99,20.01,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Golden Tate,PHI,1.0,1.26,0.0,6.08,74.45,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Taywan Taylor,TEN,1.0,1.75,0.01,3.6,41.65,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Trent Taylor,SF,1.0,0.12,0.0,2.39,26.91,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Adam Thielen,MIN,1.0,0.33,0.0,7.03,87.93,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Demaryius Thomas,HOU,1.0,0.19,0.0,5.35,58.39,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Thomas,NO,1.0,0.06,0.0,7.41,94.06,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Deonte Thompson,BUF,1.0,0.39,0.0,1.82,27.31,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Tonyan,GB,1.0,0.03,0.0,0.11,1.44,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Laquon Treadwell,MIN,1.0,0.03,0.0,2.29,26.53,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marquez Valdes-Scantling,GB,1.0,0.21,0.0,2.29,25.31,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
James Washington,PIT,1.0,0.3,0.0,2.44,28.47,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sammy Watkins,KC,1.0,1.87,0.02,2.73,40.1,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dede Westbrook,JAX,1.0,1.26,0.01,4.99,61.31,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Tim White,BAL,1.0,0.32,0.0,0.24,3.53,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chad Williams,ARI,1.0,0.54,0.0,2.22,26.85,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mike Williams,LAC,1.0,0.54,0.0,3.31,47.04,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Nick Williams,FA,1.0,0.04,0.0,1.11,14.26,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyrell Williams,LAC,1.0,0.62,0.0,2.84,43.85,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Derrick Willies,CLE,1.0,0.09,0.0,0.13,4.87,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Albert Wilson,MIA,1.0,3.73,0.03,2.08,22.81,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Woods,LAR,1.0,1.51,0.0,5.12,71.8,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jarius Wright,CAR,1.0,0.58,0.0,2.18,29.73,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Brandon Zylstra,MIN,1.0,0.1,0.0,0.2,4.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
