Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS,POS
Brandon Wilson CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Darrel Williams KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Charcandrick West KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Donnel Pumphrey PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Detrez Newsome LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Bo Scarbrough SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jonathan Stewart NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Shane Vereen NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kerwynn Williams DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Roc Thomas MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Dalyn Dawkins TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Josh Ferguson HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jonathan Williams IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Dimitri Flowers JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Devante Mays CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Donnie Ernsberger TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Khalfani Muhammad DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Johnny Stanton MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Paul Perkins NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Dan Vitale GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Dare Ogunbowale TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Khalid Hill SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Taquan Mizzell CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
